"PLOT","REP","INSTN","ITW","DATESP","DORPD","NSP","LGLNSP","LGLATSP1","LGLATSP2","LGLATSP3","LGLATSP4","LGLATSP5","LGLATSP6","AVLGLATSP","THASP","THLSP1","THLSP2","AVTHSP","FTW","PW_SPT"
"1","1","CIP308328.21","-56.0","2013-30-02","472.0","2.0","11.2","9.31","","","","","","9.31","9.42","7.21","","7.21","55.0","1.7857142857142856"
"2","2","CIP308328.21","37.3","2013-03-02","472.0","2.0","8.3","6.7","","","","","","6.7","6.25","3.9","","3.9","36.9","1.0723860589812295"
"3","3","CIP308328.21","42.5","2013-03-02","472.0","4.0","10.1","7.2","6.87","6.34","","","","6.803333333333334","5.16","5.55","5.29","5.42","41.9","1.4117647058823564"
"4","4","CIP308328.21","34.6","2013-03-02","472.0","2.0","11.09","8.67","","","","","","8.67","4.08","4.14","","4.14","32.9","4.913294797687869"
"5","5","CIP308328.21","31.4","2012-02-29","105.0","3.0","10.14","7.14","8.32","","","","","7.73","6.09","6.87","6.02","6.445","29.9","4.777070063694268"
"6","1","CIP308328.25","39.6","2012-02-24","100.0","2.0","5.31","4.29","","","","","","4.29","3.29","1.9","","1.9","39.3","0.7575757575757683"
"7","2","CIP308328.25","23.7","2012-02-24","100.0","2.0","5.91","5.0","","","","","","5.0","4.0","3.2","","3.2","23.4","1.2658227848101298"
"8","3","CIP308328.25","39.1","2012-02-24","100.0","2.0","5.09","5.09","","","","","","5.09","3.545","2.545","","2.545","38.8","0.7672634271099853"
"9","4","CIP308328.25","47.7","2012-02-24","100.0","1.0","5.56","","","","","","","","3.02","","","","47.4","0.6289308176100717"
"10","5","CIP308328.25","27.1","2012-03-24","129.0","1.0","5.4","","","","","","","","3.51","","","","26.7","1.4760147601476092"
"11","1","CIP308328.72","8.1","2012-03-10","115.0","1.0","2.24","","","","","","","","1.5","","","","7.4","8.641975308641966"
"12","2","CIP308328.72","17.5","2012-03-10","115.0","1.0","2.0","","","","","","","","1.8","","","","16.8","3.999999999999996"
"13","3","CIP308328.72","10.6","2012-03-10","115.0","1.0","3.1","","","","","","","","1.6","","","","9.9","6.603773584905653"
"14","4","CIP308328.72","8.0","2012-03-10","115.0","1.0","2.3","","","","","","","","1.2","","","","7.3","8.750000000000002"
"15","5","CIP308328.72","11.9","2012-02-10","86.0","1.0","2.1","","","","","","","","1.9","","","","11.2","5.88235294117648"
"16","1","CIP308328.110","17.6","2012-02-15","91.0","1.0","3.7","","","","","","","","1.8","","","","17.2","2.2727272727272845"
"17","2","CIP308328.110","21.8","2012-02-15","91.0","1.0","4.0","","","","","","","","2.0","","","","21.4","1.8348623853211108"
"18","3","CIP308328.110","18.9","2012-02-15","91.0","1.0","2.3","","","","","","","","2.0","","","","18.4","2.6455026455026456"
"19","4","CIP308328.110","25.5","2012-02-15","91.0","1.0","2.1","","","","","","","","1.7","","","","25.1","1.5686274509803866"
"20","5","CIP308328.110","13.4","2012-03-15","120.0","1.0","2.2","","","","","","","","1.3","","","","12.9","3.731343283582089"
"21","1","CIP308328.51","23.7","2012-03-02","107.0","1.0","5.2","","","","","","","","6.5","","","","23.0","2.9535864978902926"
"22","2","CIP308328.51","20.3","2012-03-02","107.0","1.0","5.6","","","","","","","","5.8","","","","19.8","2.463054187192118"
"23","3","CIP308328.51","24.6","2012-03-02","107.0","1.0","4.9","","","","","","","","5.6","","","","24.3","1.219512195121954"
"24","4","CIP308328.51","16.2","2012-03-02","107.0","1.0","6.2","","","","","","","","6.3","","","","15.7","3.08641975308642"
"25","5","CIP308328.51","17.0","2012-02-02","78.0","1.0","5.8","","","","","","","","5.9","","","","16.7","1.7647058823529453"
"26","1","CIP308328.181","15.0","2012-02-10","86.0","1.0","5.34","","","","","","","","4.11","","","","14.0","6.666666666666667"
"27","2","CIP308328.181","21.1","2012-02-10","86.0","1.0","8.26","","","","","","","","5.21","","","","20.1","4.739336492890995"
"28","3","CIP308328.181","13.7","2012-02-10","86.0","1.0","4.86","","","","","","","","5.1","","","","12.7","7.299270072992702"
"29","4","CIP308328.181","14.7","2012-02-10","86.0","1.0","7.83","","","","","","","","3.67","","","","13.7","6.802721088435375"
"30","5","CIP308328.181","18.8","2012-02-10","86.0","1.0","8.73","","","","","","","","4.68","","","","17.3","7.978723404255319"
"31","1","CIP308328.7","10.1","2012-02-27","103.0","1.0","3.6","","","","","","","","2.7","","","","9.8","2.9702970297029596"
"32","2","CIP308328.7","8.6","2012-02-27","103.0","1.0","4.1","","","","","","","","2.6","","","","8.4","2.3255813953488293"
"33","3","CIP308328.7","12.9","2012-02-27","103.0","1.0","3.9","","","","","","","","3.1","","","","12.7","1.5503875968992331"
"34","4","CIP308328.7","10.2","2012-02-27","103.0","1.0","3.7","","","","","","","","3.4","","","","9.9","2.9411764705882253"
"35","5","CIP308328.7","11.5","2012-03-27","132.0","1.0","4.0","","","","","","","","3.4","","","","11.3","1.7391304347826024"
"36","1","CIP308328.81","5.6","2012-03-12","117.0","2.0","2.3","2.0","","","","","","2.0","2.1","1.5","","1.5","5.4","3.5714285714285587"
"37","2","CIP308328.81","10.5","2012-03-12","117.0","1.0","2.1","","","","","","","","1.8","","","","10.3","1.904761904761898"
"38","3","CIP308328.81","2.5","2012-03-12","117.0","2.0","2.2","2.1","","","","","","2.1","2.0","1.9","","1.9","2.3","8.000000000000007"
"39","4","CIP308328.81","4.0","2012-03-12","117.0","1.0","2.3","","","","","","","","2.0","","","","3.9","2.500000000000002"
"40","5","CIP308328.81","3.0","2012-02-12","88.0","1.0","2.5","","","","","","","","1.7","","","","2.7","9.999999999999993"
"41","1","CIP308328.40","12.0","2012-02-15","91.0","1.0","2.6","","","","","","","","5.2","","","","11.8","1.6666666666666607"
"42","2","CIP308328.40","14.6","2012-02-15","91.0","1.0","2.7","","","","","","","","4.1","","","","14.4","1.3698630136986254"
"43","3","CIP308328.40","26.2","2012-02-15","91.0","1.0","2.3","","","","","","","","3.5","","","","26.0","0.7633587786259515"
"44","4","CIP308328.40","11.1","2012-02-15","91.0","1.0","3.0","","","","","","","","2.9","","","","11.0","0.9009009009008978"
"45","5","CIP308328.40","14.6","2012-03-15","120.0","1.0","2.0","","","","","","","","2.6","","","","14.4","1.3698630136986254"
"46","1","CIP308328.36","13.0","2012-03-19","124.0","1.0","4.5","","","","","","","","2.6","","","","11.2","13.846153846153852"
"47","2","CIP308328.36","9.8","2012-03-19","124.0","1.0","4.9","","","","","","","","2.9","","","","8.8","10.20408163265306"
"48","3","CIP308328.36","6.7","2012-03-19","124.0","1.0","3.9","","","","","","","","2.8","","","","5.6","16.4179104477612"
"49","4","CIP308328.36","6.2","2012-03-19","124.0","1.0","5.2","","","","","","","","3.0","","","","5.7","8.064516129032258"
"50","5","CIP308328.36","9.5","2012-01-19","64.0","1.0","6.2","","","","","","","","2.5","","","","8.8","7.368421052631572"
"51","1","CIP308328.56","85.5","2012-01-26","71.0","2.0","21.33","9.31","","","","","","9.31","9.42","7.21","","7.21","77.28","9.614035087719298"
"52","2","CIP308328.56","31.9","2012-01-26","71.0","2.0","14.46","6.7","","","","","","6.7","6.25","3.9","","3.9","28.86","9.529780564263321"
"53","3","CIP308328.56","90.1","2012-01-26","71.0","4.0","8.32","8.32","6.87","6.34","","","","7.176666666666667","7.16","7.55","7.29","7.42","83.36","7.480577136514978"
"54","4","CIP308328.56","32.6","2012-01-26","71.0","2.0","11.09","8.67","","","","","","8.67","4.08","4.14","","4.14","29.58","9.263803680981605"
"55","5","CIP308328.56","73.1","2012-01-26","71.0","3.0","10.14","7.14","8.32","","","","","7.73","6.09","6.87","6.02","6.445","66.57","8.932968536251712"
"56","1","CIP308328.16","9.6","2012-01-26","71.0","1.0","9.56","","","","","","","","2.92","","","","7.94","17.29166666666666"
"57","2","CIP308328.16","10.5","2012-01-26","71.0","1.0","5.73","","","","","","","","2.83","","","","9.66","7.999999999999999"
"58","3","CIP308328.16","9.8","2012-01-26","71.0","2.0","10.88","11.67","","","","","","11.67","2.68","2.95","","2.95","8.62","12.040816326530626"
"59","4","CIP308328.16","6.2","2012-01-26","71.0","1.0","16.6","","","","","","","","1.56","","","","5.44","12.258064516129028"
"60","5","CIP308328.16","8.5","2012-01-26","71.0","1.0","13.07","","","","","","","","3.13","","","","7.28","14.352941176470585"
"61","1","CIP308328.94","5.6","2012-01-26","71.0","1.0","8.0","","","","","","","","2.14","","","","4.78","14.642857142857132"
"62","2","CIP308328.94","2.2","2012-01-26","71.0","1.0","5.13","","","","","","","","2.03","","","","1.89","14.0909090909091"
"63","3","CIP308328.94","4.6","2012-01-26","71.0","1.0","","8.51","","","","","","8.51","","2.38","","2.38","4.14","10.0"
"64","4","CIP308328.94","5.5","2012-01-26","71.0","4.0","4.13","3.55","3.02","3.01","","","","3.1933333333333334","1.83","1.52","1.16","1.3399999999999999","4.9","10.909090909090903"
"65","5","CIP308328.94","3.0","2012-01-26","71.0","1.0","2.71","","","","","","","","1.81","","","","2.69","10.333333333333334"
"66","1","CIP308328.210","8.4","2012-01-26","71.0","1.0","11.37","","","","","","","","2.71","","","","7.61","9.404761904761905"
